date_performance,id_charlton,source,title,date_creation,is_ballet,is_borrowed,acts,Compositeur (1),Compositeur (2),Compositeur (3),Librettiste (1),Librettiste (2),Librettiste (3),Librettiste (arr.) 1,Librettiste (arr.) 2,Librettiste (arr.) 3
1820-01-01T00:00:00.000Z,1108,TH OC-90,Maison à vendre,1800-10-23T00:00:00.000Z,no,no,1,"Dalayrac, Nicolas Marie",0,0,"Pineu-Duval, Alexandre Vincent",0,0,0,0,0
1820-01-01T00:00:00.000Z,284,TH OC-90,Le Calife de Bagdad,1800-09-16T00:00:00.000Z,no,no,1,"Boieldieu, François Adrien",0,0,"Godard d'Aucour de Saint-Just, Claude",0,0,0,0,0
1820-01-01T00:00:00.000Z,332,TH OC-90,Cendrillon,1810-02-22T00:00:00.000Z,no,no,3,"Isouard, Nicolas, dit Nicolò",0,0,"Étienne, Charles Guillaume",0,0,0,0,0
1820-01-02T00:00:00.000Z,408,TH OC-90,La Clochette ou le Diable page,1817-10-18T00:00:00.000Z,no,no,3,"Herold, Louis Joseph Ferdinand",0,0,"Théaulon de Lambert, Marie Emmanuel Guillaume",0,0,0,0,0
1820-01-02T00:00:00.000Z,729,TH OC-90,Félicie ou la Jeune fille romanesque,1815-02-28T00:00:00.000Z,no,no,3,"Catrufo, Giuseppe",0,0,"Dupaty, Louis Emmanuel Mercier, dit Mercier-Dupaty",0,0,0,0,0
1820-01-03T00:00:00.000Z,1559,TH OC-90,Les Rivaux de village ou la Cruche cassée,1819-12-24T00:00:00.000Z,no,no,1,"Lemière de Corvey, Jean Frédéric",0,0,"Violet d'Épagny, Jean-Baptiste Rose Bonaventure",0,0,0,0,0
1820-01-03T00:00:00.000Z,822,TH OC-90,Le Frère Philippe,1818-01-20T00:00:00.000Z,no,no,1,"Dourlen, Victor Charles Paul",0,0,"Duport, Auguste",0,0,0,0,0
1820-01-03T00:00:00.000Z,976,TH OC-90,La Jeune Femme colère,1805-04-18T00:00:00.000Z,no,no,1,"Boieldieu, François Adrien",0,0,"Étienne, Charles Guillaume",Claparède,0,0,0,0
1820-01-04T00:00:00.000Z,1878,TH OC-90,Zémire et Azor,1771-11-09T00:00:00.000Z,no,no,4,"Grétry, André Ernest Modeste",0,0,"Marmontel, Jean François",0,0,0,0,0
1820-01-04T00:00:00.000Z,964,TH OC-90,Jean de Paris,1812-04-04T00:00:00.000Z,no,no,2,"Boieldieu, François Adrien",0,0,"Godard d'Aucour de Saint-Just, Claude",0,0,0,0,0
1820-01-05T00:00:00.000Z,1383,TH OC-90,Le Petit Chaperon rouge,1818-06-30T00:00:00.000Z,no,no,3,"Boieldieu, François Adrien",0,0,"Théaulon de Lambert, Marie Emmanuel Guillaume",0,0,0,0,0
1820-01-05T00:00:00.000Z,1294,TH OC-90,L'Officier enlevé ou l'Enlèvement singulier,1819-05-04T00:00:00.000Z,no,no,1,"Catel, Charles Simon",0,0,"Pineu-Duval, Alexandre Vincent",0,0,0,0,0
1820-01-06T00:00:00.000Z,1559,TH OC-90,Les Rivaux de village ou la Cruche cassée,1819-12-24T00:00:00.000Z,no,no,1,"Lemière de Corvey, Jean Frédéric",0,0,"Violet d'Épagny, Jean-Baptiste Rose Bonaventure",0,0,0,0,0
1820-01-06T00:00:00.000Z,1713,TH OC-90,Le Tableau parlant,1769-09-20T00:00:00.000Z,no,no,1,"Grétry, André Ernest Modeste",0,0,"Anseaume, Louis",0,0,0,0,0
1820-01-06T00:00:00.000Z,225,TH OC-90,Le Billet de loterie,1811-09-14T00:00:00.000Z,no,no,1,"Isouard, Nicolas, dit Nicolò",0,0,"Roger, Jean-François","Creuzé de Lesser, Auguste François",0,0,0,0
1820-01-07T00:00:00.000Z,544,TH OC-90,Les Deux Journées ou le Porteur d'eau,1800-01-16T00:00:00.000Z,no,no,3,"Cherubini, Mario Luigi Carlo Zanobi Salvadore",0,0,"Bouilly, Jean Nicolas",0,0,0,0,0
1820-01-07T00:00:00.000Z,673,TH OC-90,L'Épreuve villageoise,1784-06-24T00:00:00.000Z,no,no,2,"Grétry, André Ernest Modeste",0,0,"Desforges, Pierre Jean-Baptiste Choudard, dit",0,0,0,0,0
1820-01-08T00:00:00.000Z,1559,TH OC-90,Les Rivaux de village ou la Cruche cassée,1819-12-24T00:00:00.000Z,no,no,1,"Lemière de Corvey, Jean Frédéric",0,0,"Violet d'Épagny, Jean-Baptiste Rose Bonaventure",0,0,0,0,0
1820-01-08T00:00:00.000Z,762,TH OC-90,La Fête du village voisin,1816-03-05T00:00:00.000Z,no,no,3,"Boieldieu, François Adrien",0,0,"Sewrin, Charles Augustin de Bassompierre, dit",0,0,0,0,0
1820-01-09T00:00:00.000Z,1559,TH OC-90,Les Rivaux de village ou la Cruche cassée,1819-12-24T00:00:00.000Z,no,no,1,"Lemière de Corvey, Jean Frédéric",0,0,"Violet d'Épagny, Jean-Baptiste Rose Bonaventure",0,0,0,0,0
1820-01-09T00:00:00.000Z,822,TH OC-90,Le Frère Philippe,1818-01-20T00:00:00.000Z,no,no,1,"Dourlen, Victor Charles Paul",0,0,"Duport, Auguste",0,0,0,0,0
1820-01-09T00:00:00.000Z,29,TH OC-90,"Aline, reine de Golconde",1803-09-03T00:00:00.000Z,no,no,3,"Berton, Henri Montan",0,0,"Vial, Jean-Baptiste Charles","Favières, Edmond Guillaume François de",0,0,0,0
1820-01-10T00:00:00.000Z,1403,TH OC-90,Picaros et Diego,1803-05-03T00:00:00.000Z,no,no,1,"Dalayrac, Nicolas Marie",0,0,"Dupaty, Louis Emmanuel Mercier, dit Mercier-Dupaty",0,0,0,0,0
1820-01-10T00:00:00.000Z,1213,TH OC-90,Michel-Ange,1802-12-11T00:00:00.000Z,no,no,1,"Isouard, Nicolas, dit Nicolò",0,0,"Delrieu, Étienne Joseph Bernard",0,0,0,0,0
1820-01-10T00:00:00.000Z,1280,TH OC-90,Le Nouveau Seigneur de village,1813-06-29T00:00:00.000Z,no,no,1,"Boieldieu, François Adrien",0,0,"Creuzé de Lesser, Auguste François","Favières, Edmond Guillaume François de",0,0,0,0
1820-01-11T00:00:00.000Z,1559,TH OC-90,Les Rivaux de village ou la Cruche cassée,1819-12-24T00:00:00.000Z,no,no,1,"Lemière de Corvey, Jean Frédéric",0,0,"Violet d'Épagny, Jean-Baptiste Rose Bonaventure",0,0,0,0,0
1820-01-11T00:00:00.000Z,1864,TH OC-90,Le Voyage incognito,1819-07-01T00:00:00.000Z,no,no,1,"Gasse, Ferdinand",0,0,"Castel, René Richard Louis",0,0,0,0,0
1820-01-11T00:00:00.000Z,16,TH OC-90,Adolphe et Clara ou les Deux Prisonniers,1799-02-10T00:00:00.000Z,no,no,1,"Dalayrac, Nicolas Marie",0,0,"Marsollier des Vivetières, Benoît-Joseph",0,0,0,0,0
1820-01-12T00:00:00.000Z,1081,TH OC-90,Lulli et Quinault ou le Déjeuner impossible,1812-02-27T00:00:00.000Z,no,no,1,"Isouard, Nicolas, dit Nicolò",0,0,"Gaugiran-Nanteuil, P. Charles",0,0,0,0,0
1820-01-12T00:00:00.000Z,1639,TH OC-90,La Sérénade,1818-04-02T00:00:00.000Z,no,no,1,"Gail, Edmée Sophie (née Garre)","García, Vicente Rodríguez, dit Manuel",0,"Gay, Sophie",0,0,0,0,0
1820-01-12T00:00:00.000Z,965,TH OC-90,Jean et Geneviève,1792-12-03T00:00:00.000Z,no,no,1,"Solié, Jean-Pierre",0,0,"Favières, Edmond Guillaume François de",0,0,0,0,0
1820-01-13T00:00:00.000Z,1550,TH OC-90,Richard Cœur-de-Lion,1784-10-21T00:00:00.000Z,no,no,3,"Grétry, André Ernest Modeste",0,0,"Sedaine, Michel Jean",0,0,0,0,0
1820-01-13T00:00:00.000Z,1713,TH OC-90,Le Tableau parlant,1769-09-20T00:00:00.000Z,no,no,1,"Grétry, André Ernest Modeste",0,0,"Anseaume, Louis",0,0,0,0,0
1820-01-13T00:00:00.000Z,822,TH OC-90,Le Frère Philippe,1818-01-20T00:00:00.000Z,no,no,1,"Dourlen, Victor Charles Paul",0,0,"Duport, Auguste",0,0,0,0,0
1820-01-14T00:00:00.000Z,1108,TH OC-90,Maison à vendre,1800-10-23T00:00:00.000Z,no,no,1,"Dalayrac, Nicolas Marie",0,0,"Pineu-Duval, Alexandre Vincent",0,0,0,0,0
